"id","fullname","shortname","number","category","vid_uchrezhdeniya","organiz_pravov_forma","podchinenie","address","telephone","email","location"
447, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1230, ГБОУ детский сад № 1230,"1 230", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северное окружное управление образования," 127591, г. Москва, улица Дубнинская, дом 34-А",(495) 485-36-32, sun1230@mail.ru,POINT (37.5587731 55.8847575)
448, Государственное бюджетное образовательное учреждение города Москвы детский сад № 657, ГБОУ детский сад № 657,"657", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121354, г.Москва, ул. Кубинка, д. 20, кор. 2",(495) 416-51-74, dou657@mail.ru,POINT (37.4097793 55.72381069999999)
449, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2537, ГБОУ детский сад № 2537,"2 537", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111621, г. Москва, ул. Медведева, дом 8.",(499) 721-48-50, det.sad.2537@mail.ru,POINT (37.8879762 55.7182521)
450, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 605, ГБОУ детский сад № 605,"605", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 107143. Москва, улица Николая Химушина, дом 17 А",(499) 966-33-75, ds605@yandex.ru,POINT (37.763494 55.824479)
451, Государственное бюджетное образовательное учреждение города Москвы детский сад №1434, ГБОУ детский сад № 1434,"1 434", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129323, г.Москва, улица Снежная, дом 10",(499) 180-02-80, detsad1434@mail.ru,POINT (37.6440176 55.8489774)
452, Государственное бюджетное образовательное учреждение города Москвы детский сад № 762, ГБОУ детский сад № 762,"762", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111402, г.Москва, Вешняковская улица , д. 3А",(495) 375-61-21, detskii_sad762@mail.ru,POINT (37.8207202 55.7395702)
453, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1970, ГБОУ детский сад № 1970,"1 970", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115477 г. Москва, Бехтерева ул. д.13 к.2",(495) 325-49-61, dou1970@sinergi.ru,POINT (37.652282 55.63325099999999)
454, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2551, ГБОУ детский сад № 2551,"2 551", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111625, г. Москва, ул. Святозерская, д.6.",(499) 721-49-80, sad2551@rambler.ru,POINT (37.8832765 55.7129305)
455, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 585, ГБОУ детский сад № 585,"585", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105523, г. Москва, Щелковское шоссе, д. 90Б",(499) 748-84-96, sad585@yandex.ru,POINT (37.8219897 55.81055550000001)
456, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1976, ГБОУ детский сад № 1976,"1 976", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 105082 г.Москва, ул. Б.Почтовая, д.4/6",(499) 261-71-91, GOU.DS1976@yandex.ru,POINT (37.689504 55.773279)
457, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1983, ГБОУ детский сад № 1983,"1 983", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 109028 г. Москва, Казарменный пер., д. 6, стр. 5",(495) 916-09-81, DOU-1983@yandex.ru,POINT (37.6503948 55.7557369)
458, Государственное бюджетное образовательное учреждение города Москвы детский сад № 433, ГБОУ детский сад № 433,"433", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117449, г. Москва, ул. Винокурова, дом 3А",(499)126-32-38, detsad1216@mail.ru,POINT (37.58372 55.690013)
459, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 582, ГБОУ детский сад № 582,"582", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119501, г.Москвы, ул. Веерная, д. 34, корп. 1",(495) 441-10-61, detsad582@yandex.ru,POINT (37.482767 55.711806)
460, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1350, ГБОУ детский сад № 1350,"1 350", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127566, город Москва, улица Бестужевых, дом 23А",(499) 204-17-00, detsad_1350@mail.ru,POINT (37.6083755 55.8730398)
461, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1640, ГБОУ детский сад № 1640,"1 640", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127560 город Москва, ул.Коненкова, дом 23А",(499) 207-96-52, dou1640@yandex.ru,POINT (37.6094017 55.8950739)
462, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2514, ГБОУ детский сад № 2514,"2 514", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117303, г.Москва, улица Одесская, дом 16, корпус 1","499 794-37-18", ds2514@mosuzedu.ru,POINT (37.5883069 55.6560275)
463, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2427, ГБОУ детский сад № 2427,"2 427", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109469, г. Москва, Перервинский б-р, д. 21, к. 4",(495) 346-94-21, dc2427@yandex.ru,POINT (37.7751236 55.6586863)
464, Государственное бюджетное образовательное учреждение города Москвы детский сад № 358, ГБОУ детский сад № 358,"358", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115551 г. Москва, ул. Домодедовская, д. 7 к.4",(495) 391-99-44, dou358@sinergi.ru,POINT (37.710863 55.6132076)
465, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2296, ГБОУ детский сад № 2296,"2 296", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127083, г. Москва ул. Верхняя Масловка, дом 3",(495) 613-30-90, ds2296@mail.ru,POINT (37.567423 55.792011)
466, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2466, ГБОУ детский сад № 2466,"2 466", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Восточное окружное управление образования," 109451, Москва, ул. Белореченская, д.41, к.3",(495) 658-49-90, dc_2466@mail.ru,POINT (37.774826 55.664115)
467, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 808, ГБОУ детский сад № 808,"808", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127576, город Москва, улица Илимская, дом 10, корпус 1",(499) 409-14-40, dou1817@yandex.ru,POINT (37.5837167 55.8904358)
468, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1485, ГБОУ детский сад № 1485,"1 485", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 127644, г. Москва, улица Клязьминская, дом 21 А",(495) 483-01-61, ds1485@mail.ru,POINT (37.5270941 55.8938967)
469, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2694, ГОУ детский сад № 2694,"2 694", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117335, г.Москва, улица Архитектора Власова, дом 11, корп.3",(499) 128-08-95, dou2694@ou.mosuzedu.ru,POINT (37.5550023 55.6784099)
470, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей №177, ГБОУ детский сад № 177,"177", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Восточное окружное управление образования," 109383, г. Москва, ул. Шоссейная, дом 53",(495) 354-32-91, ds177@uvuo.ru,POINT (37.7232767 55.6730882)
471, Государственное бюджетное образовательное учреждение города Москвы детский сад присмотра и оздоровления № 2564, ГБОУ детский сад №2564,"2 564", Дошкольное образовательное учреждение, Детский сад присмотра и оздоровления, Бюджетное, Восточное окружное управление образования," 105568, г.Москва, ул. Чечулина,д.24,стр.1",(499) 308-60-28, earmart@mail.ru; solyanka2564@mail.ru,POINT (37.833844 55.780725)
472, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2586, ГБОУ детский сад № 2586,"2 586", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117042, г.Москва, Чечёрский проезд, дом 14, корпус 2",(499)793-12-63, dou2586@ou.mosuzedu.ru; beloborodova17@mail.ru,POINT (37.5440184 55.54086270000001)
473, Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 183, ГБОУ ЦРР - детский сад № 183,"183", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109462, г. Москва Волжский бульвар, д. 23, корп. 1",(499) 176-74-00, neskuchniy-sad@yandex.ru; ds183-bux@mail.ru; neskuchniy-sad@mail.ru,POINT (37.7516091 55.7052388)
474, Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 136, ГБОУ ЦРР - детский сад № 136,"136", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Западное окружное управление образования," 117279, г. Москва, ул. Миклухо-Маклая, д. 53",(495)334-25-29, crr289@yandex.ru,POINT (37.5303465 55.6418629)
475, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №1290, ГБОУ детский сад № 1290,"1 290", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111396, Москва, улица Фрязевская, д.11 а",(495) 302-34-74, cad1290@mail.ru; Luda1290@mail.ru,POINT (37.8238945 55.7481269)
476, Государственное бюджетное образовательное учреждение города Москвы детский сад № 427, ГБОУ детский сад № 427,"427", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125171, г. Москва, 5-ый Войковский проезд, дом 14 б",(499) 150-05-03, detsad_1167@mail.ru; detsad_1167@mail.ru,POINT (37.4898159 55.81828429999999)
477, Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1039, ГБОУ ЦРР - детский сад № 1039,"1 039", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Восточное окружное управление образования," 111402,город Москва,ул.Кетчерская, дом 6Б",(495) 375-51-10, 1039_sad@list.ru,POINT (37.8234668 55.7419773)
478, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2063, ГБОУ детский сад № 2063,"2 063", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117321, город Москва, улица Профсоюзная, дом 140 А","424-11-62", detsad2063@mail.ru; dou2063@mosuzedu.ru,POINT (37.50830740000001 55.6271005)
479, Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2357, ГБОУ ЦРР - детский сад № 2357,"2 357", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109156, г. Москва ул. Привольная, д. 47, корп. 1",(495) 704-09-76, elena-k2357@yandex.ru,POINT (37.845217 55.686983)
480, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2163, ГБОУ детский сад № 2163,"2 163", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109369, г. Москва Люблинская улица, д. 106",(495) 349-20-00, gou-2163@mail.ru,POINT (37.7391435 55.651568)
481, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2145, ГБОУ детский сад № 2145,"2 145", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127221, город Москва, улица Молодцова, дом 5A",(499) 477-02-33, gou2145@mail.ru; gou2145@mail.ru,POINT (37.64163610000001 55.8768307)
482, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1939, ГБОУ Детский сад № 1939,"1 939", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 109544 г. Москва, ул. Вековая, д.10.",(495) 678-25-13, dsad1939@mail.ru,POINT (37.6834426 55.7427789)
483, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1333, ГБОУ детский сад № 1333,"1 333", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109378, город Москва, ул. Академика Скрябина, д.28, кор.3",(495) 379-08-67, sadik1333@mail.ru,POINT (37.790038 55.705336)
484, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2661, ГБОУ детский сад № 2661,"2 661", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 119048 г.Москва, Хамовнический вал, д. 36, стр.2",(499) 242-34-51, ds2661@bk.ru,POINT (37.556989 55.72315099999999)
485, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2552, ГБОУ детский сад № 2552,"2 552", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111625, г. Москва, ул. Татьяны Макаровой, д. 12",(499) 721-63-60, sad2552@yandex.ru,POINT (37.8874453 55.7122167)
486, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 822, ГБОУ детский сад,"822", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127247, г. Москва, ул. Дубнинская, дом 63, корпус 6; Бескудниковский проезд, дом 2А",(499) 488-53-20, detsad822@mail.ru;,POINT (37.5562256 55.87738179999999)
487, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2688, ГБОУ детский сад № 2688,"2 688", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117303, г.Москва, ул. Керченская, дом 9, корп. 1",(495)318-64-65, ds2688@bk.ru,POINT (37.580242 55.64920679999999)
488, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 407, ГБОУ детский сад № 407,"407", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Западное окружное управление образования," 119421, г.Москва, ул. Новаторов, дом 36, корп.11","935-64-61", hohlova2009@yandex.ru,POINT (37.5182401 55.6614707)
489, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей № 1141, ГБОУ детский сад № 1141,"1 141", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Западное окружное управление образования," 117574, г. Москва, ул. Голубинская, дом 13, корпус 2","423-44-11", gou1141@mosuzedu.ru,POINT (37.51742710000001 55.6029683)
490, Государственное бюджетное образовательное учреждение города Москвы детский сад № 976, ГБОУ детский сад № 976,"976", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119634, г.Москва, ул. Шолохова, д. 30, корп. 1",(495) 733-14-67, dou2172@mail.ru,POINT (37.34454119999999 55.6446497)
491, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2219, ГБОУ детский сад № 2219,"2 219", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121471, г.Москва, ул. Гродненская, д. 15","443-66-21", нет,POINT (37.43532 55.71691420000001)
492," Муниципальное автономное дошкольное образовательное учреждение Центр развития ребенка Детский сад №8 ""Улыбка"""," МАДОУ Детский сад №8 ""Улыбка""", 8, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Автономное, Троицкое и новомосковское окружное управление образования," 142191, Москва Город, Троицк Город, В Микрорайон, 28",#Н/Д, —,POINT (37.3032108 55.4903205)
493, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по познавательно - речевому развитию детей № 2214, ГБОУ детский сад № 2214,"2 214", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Зеленоградское окружное управление образования," 124617, г. Москва, Зеленоград, корп. 1467",(499) 733-95-76, d2214@zou.ru,POINT (37.1828689 55.9846714)
494, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1165, ГБОУ детский сад № 1165,"1 165", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Западное окружное управление образования," 117335, г. Москва, ул. Профсоюзная, дом 38, корп. 2",#Н/Д, dou1165@ou.mosuzedu.ru,POINT (37.557804 55.6763135)
495, Муниципальное бюджетное дошкольное образовательное учреждение городского округа Щербинка в городе Москве детский сад № 5 «Ягодка»., МБДОУ детский сад № 5 «Ягодка», 5, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Троицкое и новомосковское окружное управление образования," 142172, Москва Город, Щербинка Город, Березовая Улица, 2",#Н/Д, baktyozina_olga@mail.ru,POINT (37.528545 55.511515)
496, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2729, ГБОУ детский сад № 2729,"2 729", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125493, г. Москва, ул. Пулковская, д. 19, кор. 4",(495) 452-41-38, detskyi.sad2729@mail.ru,POINT (37.487504 55.846594)
497, Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1537, ГБОУ ЦРР-детский сад № 1537,"1 537", Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127562 Москва, улица Декабристов, дом 8, корпус 2",(499) 907-20-00, detkiy_sad1537@mail.ru; dou1537@yandex.ru,POINT (37.5960251 55.8645921)
498, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2456, ГБОУ детский сад № 2456,"2 456", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117041, г. Москва, ул. Адмирала Лазарева, дом 40, корпус 1","495-714-26-66", dou2456@mosuzedu.ru; dou2456@ou.mosuzedu.ru,POINT (37.5222731 55.5456259)
499, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1541, ГБОУ детский сад № 1541,"1 541", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127224, город Москва, улица Осташковская, дом 28, корпус 4",(495) 475-96-06, detsad1541@mail.ru; http://dskv1541.umihost.info,POINT (37.6751288 55.8908473)
500, Государственное бюджетное образовательное учреждение города Москвы детский сад №2518, ГБОУ детский сад № 2518,"2 518", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107061 2-я Пугачевская улица, д. 12",(499) 161-51-52, sadik_2518@mail.ru,POINT (37.7273497 55.793588)
501, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 63, ГБОУ детский сад компенсирующего вида № 63, 63, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северное окружное управление образования," 125171, г. Москва, 1-й Войковский проезд, дом 4, корпус 2",(499) 150-49-13, gouds63@gmail.com,POINT (37.4964115 55.81610939999999)
502, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1909, ГБОУ детский сад № 1909,"1 909", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111396,город Москва, Союзный проспект, дом 3","302-63-37", ds1909@mail.ru; ds1909@mskobr.ru,POINT (37.8040029 55.7514485)
503, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1547, ГБОУ детский сад № 1547,"1 547", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111401,город Москва, 2-я Владимирская улица, дом 24",(495) 368-94-14, ds1547@mail.ru,POINT (37.780713 55.755018)
504, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 387, ГБОУ детский сад № 387,"387", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127560 город Москва, улица Коненкова , дом 12Б",(499) 207-96-77, dou1108@yandex.ru,POINT (37.6131817 55.8930532)
505, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2690, ГБОУ детский сад № 2690,"2 690", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117449, г.Москва, ул. Дмитрия Ульянова, дом 25, корпус 2",(499) 789-01-54, dou2690@ou.mosuzedu.ru; detsad2690@mail.ru,POINT (37.5796843 55.6862438)
506, Государственное бюджетное образовательное учреждение города Москвы детский сад № 676, ГБОУ детский сад № 676,"676", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 119048 г. Москва, ул. Кооперативная, д. 2, корп. 13, ул.Хамовнический вал д.28 стр.2",(499) 245-49-45, det.sad-676@mail.ru; сайт ds676.mskobr.ru,POINT (37.567548 55.72045)
507, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1192, ГБОУ детский сад № 1192,"1 192", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 127473 Москва, Самотечная улица, дом 17а",(495) 684-40-54, detsad1192@gmail.com,POINT (37.6156982 55.779957)
508, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1355, ГБОУ детский сад № 1355,"1 355", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107065, г. Москва, ул. Камчатская, д. 2А",(495) 467-22-31, detsad1355@yandex.ru,POINT (37.810495 55.826065)
509, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1273, ГБОУ детский сад № 1273,"1 273", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Западное окружное управление образования," 117463, г.Москва, проезд Карамзина, дом 7, корпус 2","422-15-11", taped@rambler.ru,POINT (37.5376771 55.5921631)
510, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1128, ГБОУ детский сад № 1128,"1 128", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127490, город Москва, улица Пестеля, дом 2Б",(499) 204-84-46, gou.detsad1128@mail.ru,POINT (37.616555 55.863574)
511, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2468, ГБОУ детский сад № 2468,"2 468", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Восточное окружное управление образования," 109469, г. Москва, ул. Белореченская, дом 47, корп.3",(495) 654-98-82, dou2468@yandex.ru; dou2468@rambler.ru,POINT (37.777949 55.663415)
512, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2172, ГБОУ детский сад № 2172,"2 172", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 119270 г. Москва, ул. 3-я Фрунзенская, дом 9",(499) 242-50-98, 1108-09@mail.ru,POINT (37.57654400000001 55.7213315)
513, Государственное бюджетное образовательное учреждение города Москвы детский сад № 920, ГБОУ детский сад № 920,"920", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117465, город Москва, улица Теплый Стан, дом 11 А","8(495)3378352", dou920@mail.ru,POINT (37.4935523 55.6222872)
514, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1131, ГБОУ детский сад № 1131,"1 131", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 129110 г. Москва, Трифоновская ул., д.34-2",(495) 681-87-39, berendey1131@yandex.ru,POINT (37.6242194 55.7868777)
515, Государственное бюджетное образовательное учреждение города Москвы детский сад № 210, ГБОУ детский сад № 210,"210", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105118,г.Москва,ул.Вольная д.5Б",(495) 365-45-51, detsad.210@yandex.ru,POINT (37.726278 55.77686)
516, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2251, ГБОУ детский сад № 2251,"2 251", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105043, г. Москва, улица Первомайская, д. 73",(495) 465-28-11, blv2251@gmail.com,POINT (37.7981427 55.7937045)
