fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,telephone,email
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 531, ГБОУ детский сад № 531, 531, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119297 г.Москва, ул. Родниковая, д. 10, корп. 1",(495) 435-08-80, GOU531@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1697, ГБОУ детский сад № 1697, 1697, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111672, г. Москва, ул. Салтыковская, д. 21 А",(495) 702-03-87, detsad1697@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2079, ГБОУ детский сад № 2079, 2079, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125130, г. Москва, ул. Нарвская, д. 8",(495) 450-45-33, detsad2079@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2615, ГБОУ детский сад № 2615, 2615, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111674, Москва, ул. Лухмановская, д.18А",(499) 797-47-40, eduska@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 550, ГБОУ детский сад № 550, 550, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109391, г. Москва, Орехово-Зуевский проезд, дом 24",(499) 784-43-40, ds550@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 428, ГБОУ детский сад № 428, 428, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115580 г. Москва ул. Шипиловская,58,к.2",(495) 396-83-65, dou1174@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1796, ГБОУ детский сад № 1796, 1796, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117623, г.Москва, улица 1-ая Мелитопольская, дом 5 А",(495) 712-71-11, detsad1796@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1540, ГБОУ детский сад № 1540, 1540, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111395, г. Москва, ул. Молдагуловой, д.10Б",(499) 374-51-59, vesnyshki@bk.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2194, ГБОУ детский сад № 2194, 2194, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117556 г. Москва,Варшавское ш. д.86,к.2",(499) 619-59-59, dou2194@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2629, ГБОУ детский сад № 2629, 2629, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117639 г. Москва, Варшавское ш., д. 106, к. 1",(499) 794-45-36, dou2629@sinergi.ru; detsad2629@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 143, ГБОУ детский сад № 143, 143, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107370, г. Москва, Открытое шоссе, д.3",(499) 160-02-97, detsadvao143@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2379, ГБОУ детский сад № 2379, 2379, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 129346, г.Москва, ул. Норильская, д. 6, корпус 1",(495) 474-29-04, doy2379@rambler.ru; doy2379@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 506, ГБОУ детский сад № 506, 506, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121353, г.Москва, Сколковское шоссе, д. 12",(495) 446-33-35, goy1303@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2542, ГБОУ д/с № 2542, 2542, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109125, Москва, улица Окская, дом 5, корпус 2",(495) 225-66-92, DOU2542@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 672, ГБОУ детский сад № 672, 672, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Западное окружное управление образования," 119501, г.Москва, ул. Матвеевская, д. 4, корп. 4",(495) 441-01-20, dou672@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2681, ГБОУ детский сад № 2681, 2681, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117624, г.Москва, ул.Изюмская, д.55",(499)793-90-54, dou2681@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2604, ГБОУ детский сад № 2604, 2604, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119618, г.Москва, ул. Главмосстроя, д. 9, корп. 2",(499) 792-47-72, dou2604@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1359, ГБОУ детский сад № 1359, 1359, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 119146 г. Москва, ул. 3-ья Фрунзенская, д. 3",(499) 242-01-89, samimarina@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1684, ГБОУ Детский сад № 1684, 1684, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125040, г. Москва, 3-я улица Ямского поля, д. 17А",(495) 614-20-11, Pominovaii@mail.ru; ds1684@mail.ru
" Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2695 ""Радость"""," ГБОУ ЦРР - детский сад № 2695 ""Радость""", 2695, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Западное окружное управление образования," 117209, г.Москва, Перекопская улица, дом 24А",8(495)331-76-11, center2695@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2340, ГБОУ детский сад № 2340, 2340, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 111673, г. Москва, ул. Салтыковская, д. 5Б",(495) 702-80-30, ds2340@rambler.ru; dsad2340@gmail.com; ibmoleva@gmail.com
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 819, ГБОУ детский сад № 819, 819, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119501, г.Москва, ул. Веерная, д. 34, корп. 3",(495) 441-93-91, www.dou819@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1678, ГБОУ ЦРР - детский сад № 1678, 1678, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Центральное окружное управление образования," 129090 г. Москва, пер. Васнецова, д.2",(495) 684-77-17, detsad1678@gmail.com
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2419, ГБОУ детский сад № 2419, 2419, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111558, город Москва Федеративный просп., д. 21 корп.2",(495) 303-06-19, detsad2419@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2587, ГБОУ детский сад № 2587, 2587, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117623, г. Москва, улица Старонародная, дом 2, корпус 1",(495) 712-53-72, dou2587@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 67, ГБОУ детский сад № 67, 67, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125167, г. Москва, улица Острякова, дом 6",(499) 157-35-92, gouds67@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1040, ГБОУ детский сад № 1040, 1040, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107150, г. Москва, ул. Ивантеевская, дом 1А",(499) 160-29-80, krasota1040@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1975, ГБОУ детский сад № 1975, 1975, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 105094 г. Москва, ул. Гольяновская, д. 7, стр.6",(495) 360-83-98, dc1975cou@mail.ru; dc1975@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 894, ГБОУ детский сад № 894, 894, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115404 г. Москва,Ряжская ул.,д.9",(495) 326-02-01, dou894@sinergi.ru; dou894@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 176, ГБОУ детский сад № 176, 176, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109378, г. Москва, ул. Шумилова, дом 2, к. 2",(499) 175-83-43, dc176@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 372, ГБОУ детский сад № 372, 372, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127576 город Москва, улица Череповецкая, дом 6а",(499) 908-67-90, goy_ds1059@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1132, ГБОУ детский сад № 1132, 1132, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 129075, город Москва, улица Аргуновская, дом 12, корпус 3",(495) 615-64-24, sad_1132@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 693, ГБОУ детский сад № 693, 693, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Западное окружное управление образования," 117393, г.Москва, ул. Гарибальди, дом 14, корп.3",(499) 132-15-31, gou1609@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1757, ГБОУ детский сад № 1757, 1757, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 119633, г.Москва, ул. Приречная, д. 9, корп. 1",(495) 731-44-55, sad1757@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 924, ГБОУ детский сад № 924, 924, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129337, город Москва, улица Палехская, дом 2",(499) 182-08-10, ds924@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1054, ГБОУ детский сад № 1054, 1054, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Троицкое и новомосковское окружное управление образования," 105318, Москва Город, Семеновская Площадь, 4",#Н/Д, det.sad36kokoshkino@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 604, ГБОУ детский сад № 604, 604, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115598 г. Москва, ул. Лебедянская, д. 22, корп.3",(495) 329-36-64, dou604@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 413, ГБОУ детский сад № 413, 413, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107564,г.Москва,ул. 1-я Гражданская д.105",(495) 963-32-55, ds413-vou@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 558, ГБОУ детский сад № 558, 558, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105215, г. Москва, ул. 11-я Парковая, дом 48 А",(499) 464-18-72, detsad558@yandex.ru; http://dskv558.mskobr.ru/
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1371, ГБОУ детский сад № 1371, 1371, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 111555, г. Москва, Свободный проспект, дом 9 Б",(495) 300-44-11, Irina1371KV@mail.ru
" Муниципальное автономное дошкольное образовательное учреждение Центр развития ребенка Детский сад №5 ""Теремок"""," МАДОУ Детский сад №5 ""Теремок""", 5, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Автономное, Троицкое и новомосковское окружное управление образования," 142190, Москва Город, Троицк Город, Лесная Улица, 2",#Н/Д, teremok@trtk.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 480, ГБОУ детский сад № 480, 480, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 111033, г. Москва ул. Самокатная, д. 3/8, стр. 23",(495) 362-46-85, sadik480@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 187, ГБОУ детский сад № 187, 187, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 125167, г. Москва, улица Степана Супруна, дом 12. корпус 1",(495) 612-62-72, dskv.187@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2252, ГБОУ детский сад № 2252, 2252, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Западное окружное управление образования," 119602, г.Москва, ул. Никулинская, д. 7",(495) 232-87-30, detsad2252@mail ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2451, ГБОУ детский сад № 2451, 2451, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117198, город Москва, улица Саморы Машела, дом 6 корпус 2",8-495-735-10-66, detsad2451@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1127, ГБОУ детский сад № 1127, 1127, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105264, г.Москва,Измайловский бульвар, д.9; 105037, г. Москва, ул. 1-я Прядильная д.9",(499) 163-00-91, det-sad1127@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 826, ГБОУ детский сад № 826, 826, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121353, г. Москва, ул. Беловежская, д. 51",(495) 447-24-54, 826@inbox.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1337, ГБОУ детский сад № 1337, 1337, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107014, г. Москва, ул.Русаковская, д.18/20",(499) 264-13-04, dou1337@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 504, ГБОУ детский сад № 504, 504, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 123007, г. Москва, Хорошевское шоссе, дом 68 - А",(495) 941-24-63, dsad504@rambler.ru; ds1059@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2106, ГБОУ детский сад № 2106, 2106, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 127055 г. Москва, ул. Новослободская, д. 62, корп. 20",(499) 978-94-37, gou2106@gmail.com
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1035, ГБОУ ЦРР - детский сад № 1035, 1035, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Восточное окружное управление образования," 111555, г.Москва,улица Молостовых, д. 4А",(495) 300-63-01, sad1035@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2022, ГБОУ детский сад № 2022, 2022, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 115035 г. Москва, Садовническая набережная д.13",(495) 951-50-49, detsad2022@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1582, ГБОУ ЦРР - детский сад № 1582, 1582, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109382, г. Москва ул. Краснодонская, д. 37",(495) 358-61-38, GOU1582@YANDEX.RU
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1115, ГБОУ детский сад № 1115, 1115, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127549, город Москва, улица Мурановская, дом 12 б",(499) 207-32-92, GOUDS1115@mail.ru
" Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1182 ""Журавушка""", ГБОУ ЦРР – детский сад № 1182 «Журавушка», 1182, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Троицкое и новомосковское окружное управление образования," 105318, Москва Город, Семеновская Площадь, 4",#Н/Д, —
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2060, ГБОУ детский сад № 2060, 2060, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119634, г.Москва, ул. Шолохова, д. 19, корп. 2",(495) 732-71-44, dou2060@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2625, ГБОУ детский сад №2625, 2625, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117148, г.Москва, ул. Брусилова, д. 13, корп. 1",(499) 232-10-76, sad2625@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 361, ГБОУ детский сад № 361, 361, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121059, г.Москва, ул. Большая Дорогомиловская, д. 3",(499) 240-52-63, dou1031@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1719, ГБОУ детский сад № 1719, 1719, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 115597 г. Москва, Гурьевский пр-д, д.9, к.2",(495) 397-64-14, dou1719@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1717, ГБОУ детский сад № 1717, 1717, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119620, город Москва, улица Авиаторов, дом 18, корпус 1",(495) 934-12-97, detsad1717@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 35, ГБОУ детский сад № 35, 35, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107150, г.Москва, 3-й проезд Подбельского, дом 20",(499) 160-28-00, ds35-vou@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2155, ГБОУ детский сад № 2155, 2155, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 107241,г.Москва,ул.Амурская,д.72",(495) 462-44-61, gou2155@list.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением художественно-эстетического развития воспитанников № 1482, ГБОУ детский сад № 1482, 1482, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Западное окружное управление образования," 123181, г. Москва, Неманский проезд, д. 1, корп. 2",(495) 756-08-19, dou1482@szouo.ru; ds1482@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2314, ГБОУ детский сад № 2314, 2314, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109652, г. Москва, Мячковский бульвар, дом 18, корп.2",(495) 658-60-42, ds2314@mail.ru; dou2314@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 1787, ГОУ Центр развития ребенка - детский сад № 1787, 1787, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115409 г. Москва, Кантемировская ул. д. 20,к.3",(499) 323-08-44, dou1787@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2061, ГБОУ детский сад № 2061, 2061, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121433 г.Москва, ул. Минская, д. 15, корп. 4",(499) 144-17-79, detsad2061@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 87, ГБОУ детский сад № 87, 87, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115230 г.Москва, Каширское ш., д.7к.1",(499) 613-25-26, dou87@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1888, ГБОУ ЦРР-детский сад № 1888, 1888, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127224, г. Москва, ул. Широкая, д. 16Д",(499) 479-83-56, dou1888@yandex.ru; goucrrds_1888@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2573, ГБОУ детский сад № 2573, 2573, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121596, г.Москва, ул. Толбухина, д. 7, корп. 2",(495) 735-32-25, DOU2573@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2027, ГБОУ детский сад № 2027, 2027, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Восточное окружное управление образования," 111558, г. Москва, Зеленый проспект, д. 101А, стр.1",(495) 302-33-12, detsad2027@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1209, ГБОУ детский сад № 1209, 1209, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Западное окружное управление образования," 117593, г.Москва, улица Айвазовского, дом 6, корпус 2",495-425-33-33, gou1209@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 785, ГБОУ детский сад № 785, 785, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115404 г. Москва, ул. Бирюлевская, д.30, к.2",(495) 326-81-33, dou785@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 326, ГБОУ детский сад № 326, 326, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109507, Москва, Ферганский проезд, дом 5, корп. 1",(495) 372-64-12, detsad 326@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 848, ГБОУ детский сад № 848, 848, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Западное окружное управление образования," 125481, г. Москва, ул. Фомичевой, д. 16, корп. 4",(499) 497-54-56,  dou848@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1013, ГБОУ детский сад № 1013, 1013, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109387, г. Москва ул. Тихая, д. 3",(495) 350-13-85, ds1013@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2402, ГБОУ ЦРР - детский сад № 2402, 2402, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109542, г. Москва Рязанский пр-т, д. 70, корп. 5",(495) 377-73-90, GOYCRRDS2402@yandex.ru; detsad2402@mail.ru
