fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,Latitude,Longitude,telephone,email
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 761, ГБОУ детский сад № 761,761, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111538, г. Москва, ул. Вешняковская ,д. 25А",55.726359,37.8313162,(499) 374-00-40, detsad761@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 434, ГБОУ детский сад № 434,434, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105077,г.Москва,Измайловский бульвар,д.60/10",55.7965898,37.8135455,(495) 465-72-04, ds.434@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2447, ГБОУ детский сад № 2447,2 447, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Западное окружное управление образования," 125368, г. Москва, Ангелов переулок, д. 7, корп. 2",55.8515759,37.3492483,(495) 751-79-93,  dou2447@szouo.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 831, ГБОУ детский сад № 831,831, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северное окружное управление образования," 125008, г. Москва, улица Михалковская, дом 18",55.839056,37.5313421,(499) 154-20-46, gou831@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 317, ГБОУ детский сад № 317,317, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 127206, г. Москва, улица Астрадамская, дом 11а",55.8140043,37.5615712,(495) 611-13-38, lady.sad317@yandex.ru
" Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 2374 ""Родничок"""," ГОУ ЦРР - детский сад № 2374 ""Родничок""",2 374, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115580 г. Москва, Кустанайская д.14,к.2",55.6162722,37.75074860000001,(495) 396-01-85, dou2374@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 700, ГБОУ детский сад № 700,700, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Западное окружное управление образования," 121609, г. Москва, ул. Крылатские холмы, д. 17",55.7521158,37.4153842,(495) 413-35-55, dou1615@mail.ru
 Государственное автономное образовательное учреждение города Москвы детский сад комбинированного вида № 1036, ГАОУ детский сад № 1036,1 036, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Автономное, Троицкое и новомосковское окружное управление образования," 143340, Москва Город, поселение Новофедоровское, деревня Яковлевское",55.4654985,36.9414087,#Н/Д, Madou-raduga25@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2528, ГБОУ ЦРР - детский сад № 2528,2 528, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северное окружное управление образования," 125475, г. Москва, улица Дыбенко, дом 2А",55.8679884,37.4871171,(499) 767-16-60, ds2528@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2557, ГБОУ детский сад № 2557,2 557, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117186, город Москва, улица Нагорная, дом 37, корпус 3",55.6697362,37.5948796,(499) 121-04-44, dou2557@ou.mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 717, ГБОУ детский сад № 717,717, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127550, г. Москва, Дмитровское шоссе, дом 29, корпус 2",55.827926,37.570143,(499) 976-53-98, sadik717@mail.ru.
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1486, ГБОУ детский сад № 1486,1 486, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127247, г. Москва, Дмитровское шоссе, дом 101А",55.8759319,37.5445241,(499) 489-30-52, ds1486@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1727, ГБОУ детский сад № 1727,1 727, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125284, г. Москва, улица Поликарпова, дом 6",55.7774534,37.5538199,(495) 946-17-24, souo1727@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1693, ГБОУ детский сад № 1693,1 693, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111672, г. Москва, ул. Салтыковская, д.29",55.74089050000001,37.8731313,(495) 702-06-25, ds1693@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2526, ГБОУ детский сад № 2526,2 526, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125252, г. Москва, Ходынский бульвар, дом 15, строение 2",55.787139,37.522525,(499) 740-53-14, dskhor2526@soudo.ru; ds2526@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2420, ГБОУ детский сад № 2420,2 420, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 129327, город Москва, улица Ленская, дом 26, корпус 1",55.8680349,37.6583318,(495) 470-54-36, gou2420@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 690, ГБОУ детский сад № 690,690, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 125502, г. Москва, ул. Фестивальная, дом 61 А",55.86117729999999,37.4977427,(495) 455-74-19, gou690@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад с этнокультурным (татарским) компонентом образования № 318, ГБОУ детский сад № 318,318, Дошкольное образовательное учреждение, Детский сад с этнокультурным (национальным) компонентом образования, Бюджетное, Восточное окружное управление образования," 107065, Москва, ул. Сахалинская, д.4А",55.8258532,37.8188612,(495) 466-92-88, saniya318@yandex.ru; detsad318@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 340, ГБОУ детский сад № 340,340, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121248, г.Москва, Кутузовский проспект, д. 5, корп. 3",55.7494942,37.5655048,(499) 243-63-25, detsad340@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 261, ГБОУ детский сад № 261,261, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127224, город Москва, улица Широкая, дом 24А",55.8863373,37.6706006,(499) 479-15-18, cadik261@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2255, ГБОУ детский сад № 2255,2 255, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Восточное окружное управление образования," 109153, г. Москва, Лермонтовский проспект, д. 14, корп. 3",55.6979907,37.8544785,(495) 705-11-98, ds_2255@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1707, ГБОУ детский сад № 1707,1 707, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 129323, г. Москва, проезд Русанова, д.23, стр.1",55.855057,37.64107,(499) 180-21-55, detsad1707@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1476, ГБОУ детский сад № 1476,1 476, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Центральное окружное управление образования," 119146 г. Москва, 2-я Фрунзенская ул., д.10",55.7234805,37.5815352,(499) 242-25-40, ludmila.ds1476@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 898, ГБОУ детский сад № 898,898, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117587 г.Москва, ул. Кировоградская, д.20,к.4",55.61791539999999,37.6058595,(495) 314-81-49, dou898@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2085, ГБОУ Детский сад № 2085,2 085, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 125414, г. Москва, ул. Клинская, д. 13",55.8672459,37.4984115,(495) 455-06-87, dskhov2085@soudo.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2352, ГБОУ детский сад № 2352,2 352, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 119435 Москва, Погодинская ул., дом 20/3, стр. 1",55.72969200000001,37.561608,(499) 246-41-88, dou-2352@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1338, ГБОУ детский сад № 1338,1 338, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Восточное окружное управление образования," 111674, г. Москва, ул. 1-я Вольская, д. 20, корп. 2",55.6825617,37.9246619,(495) 706-83-33, dou1338@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 415, ГБОУ детский сад № 415,415, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105264, Москва, ул. 5-я Парковая, д.46 А",55.8003137,37.7892657,(499) 164-48-16, detsad415@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2584, ГБОУ ЦРР - детский сад № 2584,2 584, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 111674, г. Москва, 1-ая Вольская улица, дом 8, корп. 1",55.6820264,37.917038,(495) 706-60-00, crr2584@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2341, ГБОУ ЦРР - детский сад № 2341,2 341, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109156, г. Москва, ул. Генерала Кузнецова, дом 15, корпус 2",55.686108,37.8590609,(495) 705-81-07, ds2341@uvuo.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2727, ГБОУ детский сад № 2727,2 727, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107589, г. Москва, ул. Хабаровская, д. 8Б",55.8193421,37.8291574,(495) 469-92-18, detsad2727@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2346, ГБОУ детский сад № 2346,2 346, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111672, г. Москва, ул. Новокосинская, д.14 Б",55.73685099999999,37.8602887,(095) 701-23-61, ds2346vou@mail.ru
" Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2320 ""Маленькая страна"""," ГБОУ детский сад № 2320 ""Маленькая страна""",2 320, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Западное окружное управление образования," 125368, г. Москва, ул. Дубравная, д. 38, корп. 1",55.8444549,37.3551218,(495) 753-04-00,  dou2320@szouo.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 891, ГБОУ детский сад № 891,891, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127486, г. Москва, Дмитровское шоссе, дом 93, к.3",55.8699415,37.5412682,(499) 489-15-65, zaw1934@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы Центр развития ребёнка - детский сад № 2364, ГБОУ ЦРР - детский сад № 2364,2 364, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Центральное окружное управление образования," 123056 г. Москва, ул. Зоологическая, д.26, стр.2",55.7672322,37.5830218,(499) 254-63-81, CDC2364@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида №609, ГБОУ детский сад № 609,609, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 105118, г. Москва, улица Бориса Жигуленкова, д. 11",55.77459990000001,37.7327814,(495) 365-46-85, detsad609@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2529, ГБОУ детский сад № 2529,2 529, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125315, г. Москва, улица Усиевича, дом 29 Б",55.8069595,37.5197076,(499) 747-73-74, 80detskiysad2529@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1064, ГБОУ детский сад № 1064,1 064, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109377, г. Москва, улица Академика Скрябина, дом 1, корп.2",55.7146217,37.7983801,(499) 796-50-21, dc1064@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2697, ГБОУ детский сад № 2697,2 697, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129348, город Москва, Ярославское шоссе, дом 26 Б, строение 2",55.858021,37.6913993,(499) 188-50-10, dou.2697@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 567, ГБОУ детский сад № 567,567, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127322, город Москва, улица Яблочкова, дом 35 В",55.8252819,37.5764332,(495) 610-01-27, goydetskiysad1388@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 1406, ГБОУ ЦРР-детский сад № 1406,1 406, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Западное окружное управление образования," 117186, г. Москва, ул. Нагорная, дом 15, корпус 9",55.6777192,37.6103281,127-89-88, dou1406@ou.mosuzedu.ru; ds1406@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1031, ГБОУ детский сад № 1031,1 031, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111141, г. Москва, ул. Перовская, д. 42А",55.74365239999999,37.7798555,(495) 309-36-67, detcad1031@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1321, ГБОУ детский сад № 1321,1 321, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127576, город Москва, Новгородская улица, дом 9",55.8953585,37.5779026,(499) 908-49-00, detsad1321@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2422, ГБОУ детский сад № 2422,2 422, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Западное окружное управление образования," 117042, г.Москва, ул. Адмирала Лазарева, дом 28, корпус 2",55.5472355,37.52978179999999,(495)716-6022, dou2422@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2113, ГБОУ детский сад № 2113,2 113, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Центральное окружное управление образования," 109004 г.Москва, Николоямский переулок, д.3 а, корпус 3",55.7484062,37.6605511,(495) 911-16-01, detsad2113@gmail.com
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1898, ГБОУ детский сад № 1898,1 898, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109378, Москва, Есенинский бульвар, д.1/26, к.3",55.706477,37.783441,(495) 379-59-18, ds1898@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 818, ГБОУ детский сад № 818,818, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119192,г. Москва, ул. Винницкая, д. 5А",55.69700599999999,37.4940692,(495) 931-42-18, gou818@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2164, ГБОУ детский сад № 2164,2 164, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 119021 г.Москва, Пуговишников переулок, д.7",55.7321713,37.5863367,(499) 245-21-93, hamovnikids2164@mail.ru; lorina2164@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2640, ГБОУ детский сад № 2640,2 640, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 109544 г.Москва, ул.Рабочая, д.10",55.7441708,37.6822183,(495) 678-64-89, dou2640couo@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1664, ГБОУ детский сад № 1664,1 664, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 127644, г. Москва улица Клязьминская, дом 9, корпус 5",55.890497,37.525429,(495) 484-09-74, ds1664@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2052, ГБОУ детский сад № 2052,2 052, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111673, Москва, ул. Суздальская, д.18А",55.7417557,37.8503492,(495) 702-01-11, delhinenok@rambler.ru; ds.2052@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 368, ГБОУ детский сад № 368,368, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Западное окружное управление образования," 117292, г. Москва, ул. Ивана Бабушкина, д.13, корп. 2",55.6850083,37.5623049,(499) 125-01-59, Ivanova1041@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1556, ГБОУ детский сад № 1556,1 556, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125565, г. Москва, Конаковский проезд, 12 ""А""",55.8487966,37.4827618,(495) 452-16-24, detskiysad1556@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы Детский сад № 1649, ГБОУ детский сад № 1649,1 649, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109428, г.Москва, 2-й Пятигорский проезд, дом 5, корпус 1",55.724964,37.769763,(499) 171-29-83, goudetsad1609@mail.ru goy1649@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 351, ГБОУ детский сад № 351,351, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," ""125413, г. Москва, улица Флотская, д. 27 ""А""",55.8624816,37.5156615,(495) 453-01-92, gou-ds-351@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2347, ГБОУ ЦРР - детский сад № 2347,2 347, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109431, г. Москва, ул. Генерала Кузнецова, д. 28, к. 2",55.68329120000001,37.8503063,(495) 704-59-79, 7045979@sad-2347.ru
" Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1117 ""Белочка""", ГБОУ детский сад № 1117 «Белочка»,1 117, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Троицкое и новомосковское окружное управление образования," 142793, Москва Город, поселение Десёновское; поселок Ватутинки-1 Населенный пункт, 22",55.4889088,37.37939590000001,#Н/Д, bel1117@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 181, ГБОУ детский сад № 181,181, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127322, г.Москва, ул.Милашенкова, д.5-А",55.8230522,37.586449,(495) 610-05-88, dousv-181@mail.ru; dou181@yandex.ru; dou.181@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2509, ГБОУ детский сад № 2509,2 509, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 119421, г. Москва, ул. Обручева, дом 15, корпус 2, строение 1",55.65959300000001,37.517932,(499) 739-84-89, pavlova-1972@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 931, ГБОУ детский сад № 931,931, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Юго-Восточное окружное управление образования," 109444, г. Москва, ул. Сормовская, д. 5",55.7098601,37.8128986,(495) 377-33-76, ds931@mail.ru
 Муниципальное бюджетное дошкольное образовательное учреждение городского округа Щербинка в городе Москве детский сад № 7 «Золотая рыбка», МБДОУ детский сад № 7 «Золотая рыбка», 7, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Троицкое и новомосковское окружное управление образования," 142171, Москва Город, Щербинка Город, Чапаева Улица, 3",55.51278749999999,37.5703291,#Н/Д, z-rybka64@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 92, ГБОУ детский сад № 92, 92, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 129327, город Москва, улица Ленская, дом 5",55.864736,37.6713104,(495) 471-37-16, dou92@yandex.ru; goy_92@bk.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2479, ГБОУ детский сад № 2479,2 479, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111675, город Москва, улица Медведева, дом 2, дом 4",55.71686829999999,37.8797129,(499) 721-48-40, detsad2479@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2502, ГБОУ детский сад № 2502,2 502, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115211 г. Москва, Борисовские пруды ул. д. 11,к.2",55.6371933,37.7174256,(495) 340-35-49, dou2502@sinergi.ru; dou2502@rambler.ru
 Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 1786, ГБОУ ЦРР - детский сад № 1786,1 786, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Центральное окружное управление образования," 123022 г. Москва, Б. Трехгорный пер., д.8",55.7610514,37.56526849999999,(499) 256-29-39, 1786ds@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 515, ГБОУ детский сад № 515,515, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Западное окружное управление образования," 117393, г.Москва, улица Гарибальди, дом 10А",55.6726861,37.5372932,132-20-22, gou515@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 835, ГБОУ детский сад № 835,835, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 117535 г. Москва, ул. Дорожная,д.7,корп.4",55.6016124,37.6236861,(495) 382-81-94, dou835@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1873, ГБОУ детский сад № 1873,1 873, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115533 г.Москва, ул.Нагатинская, д.13, к.3",55.68079239999999,37.6413151,(499) 611-04-28, dou1873@sinergi.ru; detsad1873.narod2.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2104, ГБОУ детский сад № 2104,2 104, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127591, г. Москва, ул. 800-летия Москвы, дом 28, корп. 2",55.878573,37.562486,(499) 900-02-09, detsad2104@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 925, ГБОУ детский сад № 925,925, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 129336, город Москва, улица Стартовая, дом 29",55.8850992,37.6908488,(495) 475-33-97, Sadik925@mail.ru
