fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,telephone,email,location
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 839, ГБОУ детский сад № 839,839, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 111116, г. Москва, ул. Энергетическая, д.2",(495) 361-62-64, ds839@yandex.ru,POINT(37.7011161 55.76169909999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1835, ГБОУ детский сад № 1835,1 835, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117186, г.Москва, Севастопольский проспект, дом 23, корпус 2",499-127-76-80, ds1835@mosuzedu.ru,POINT(37.5953823 55.67689619999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 280, ГБОУ детский сад № 280,280, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115551 г.Москва, ул.Домодедовская, д.1, к.2",(495) 392-71-66, dou840@sinergi.ru,POINT(37.70553779999999 55.6177605)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1457, ГБОУ детский сад № 1457,1 457, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115598 г. Москва, Липецкая ул., д.7, к.2",(495) 329-20-22, dou1457@sinergi.ru,POINT(37.6852727 55.58265919999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 809, ГБОУ детский сад № 809,809, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 123290 г. Москва, Шмитовский проезд, д.42, к.2",(499) 259-17-41, detskiisad-809@mail.ru,POINT(37.5205398 55.7563411)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 793, ГБОУ детский сад № 793,793, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105264, г.Москва,ул.10-я Парковая д.18 а",(495) 465-04-47, gou793@mail.ru,POINT(37.8035617 55.797984)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1544, ГБОУ ЦРР-детский сад № 1544,1 544, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Западное окружное управление образования," 119607, г.Москва, ул. Раменки, д. 13, корп. 1",(495) 932-20-80, dou1544@mail.ru,POINT(37.499077 55.691433)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 810, ГБОУ детский сад,810, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Западное окружное управление образования," 121552 г. Москва, ул. Ельнинская, д. 7, корп. 2",(499) 141-72-23, sad_810@mail.ru,POINT(37.420868 55.736517)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 268, ГБОУ детский сад № 268,268, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 123100 г. Москва, Шмитовский проезд, д.9",(499) 256-53-14, detsad268@rambler.ru,POINT(37.5527964 55.75809049999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2608, ГБОУ детский сад № 2608,2 608, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109457, Москва, улица Федора Полетаева, дом 6, корпус 3",(499) 746-55-30, detsad2608@mail.ru,POINT(37.773706 55.714102)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 706, ГБОУ детский сад № 706,706, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117525 г. Москва, ул.Красного Маяка, д. 9 А",(495) 387-38-53, dou706@sinergi.ru,POINT(37.587447 55.6114754)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 260, ГБОУ детский сад № 260,260, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117452, г.Москва, Балаклавский проспект, д.18",(495) 318-05-32, detsad260@yandex.ru; ds260@mosuzedu.ru,POINT(37.5977884 55.6422006)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1344, ГБОУ детский сад № 1344,1 344, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129347, город Москва, улица Ротерта, дом 14",(499) 188-37-47, dou1344@yandex.ru,POINT(37.7251458 55.8778367)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №1073, ГБОУ детский сад № 1073,1 073, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127572 город Москва, улица Абрамцевская, дом 14, корпус 2",(499) 200-50-11, detsad1073@mail.ru,POINT(37.5757572 55.9004456)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1972, ГБОУ детский сад № 1972,1 972, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115404 г. Москва, ул Касимовская, д.11",(495) 326-51-47, dou1972@sinergi.ru,POINT(37.657066 55.5983655)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1649, ГБОУ детский сад № 1649,1 649, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121351, г.Москва, ул. Кунцевская, д. 7, корп. 3",(495) 417-20-45, dou1649@mail.ru; http://ds1649.mszapad.ru,POINT(37.4203713 55.7293307)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 74, ГБОУ детский сад № 74, 74, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 127055 г. Москва, ул. Новослободская, д.51",(499) 791-21-90, detsad74@mail.ru,POINT(37.5934889 55.7864874)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1353, ГБОУ детский сад № 1353,1 353, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127276 г.Москва, ул.Ботаническая, д.6",(499) 201-49-22, dou1353@yandex.ru,POINT(37.5860801 55.8444413)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 577, ГБОУ ЦРР - детский сад № 577,577, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115409 г.Москва ул. Кантемировская,д.20,к.6",(499) 323-63-08, dou577@sinergi.ru,POINT(37.662353 55.641303)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2621, ГБОУ детский сад № 2621,2 621, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117042, г. Москва, ул. Горчакова, дом 19",(499)793-19-54, dou2621@ou.mosuzedu.ru,POINT(37.5339755 55.5395502)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1605, ГБОУ детский сад № 1605,1 605, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121609, г.Москва, ул. Крылатские холмы, д. 9",(495) 413-56-25, dou1605@mail.ru,POINT(37.4216661 55.74913129999999)
" Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1156 ""Василек""", ГБОУ ЦРР – детский сад № 1156 «Василек»,1 156, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Троицкое и новомосковское окружное управление образования," 105318, Москва Город, Семеновская Площадь, 4",#Н/Д, vasilek34@list.ru,POINT(37.7210321 55.7813321)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1019, ГБОУ детский сад № 1019,1 019, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127576, г. Москва, Алтуфьевское ш., д. 91 Б",(499) 200-70-88, Goy_ds1019@mail.ru,POINT(37.584 55.89624999999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1383, ГБОУ детский сад № 1383,1 383, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 115597, г. Москва, ул.Ясеневая, д.34, к.3",(495) 398-53-58, dou1383@sinergi.ru,POINT(37.7428645 55.6040212)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 139, ГБОУ детский сад №139,139, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109439, г. Москва, ул. Юных Ленинцев, д. 107, корп. 2",(499) 175-52-22, ds139@rambler.ru,POINT(37.78352599999999 55.699151)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 236, ГБОУ детский сад № 236,236, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117418, г. Москва, ул. Новочеремушкинская, д.52, корп.1",8-499-128-39-23, dou236@mosuzedu.ru,POINT(37.5638837 55.67000669999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 905, ГБОУ детский сад № 905,905, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Южное окружное управление образования," 115563 г. Москва, Борисовский пр. д.24, кор.2",(495) 393-39-00, dou905@sinergi.ru,POINT(37.7240876 55.6239011)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2443, ГБОУ детский сад № 2443,2 443, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования, 105173 г. Москва ул. Главная д. 5а,(499) 780-69-58, detsad2443@yandex.ru,POINT(37.8618234 55.8194204)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 689, ГБОУ детский сад №689,689, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117342, г. Москва, ул.Введенского, 11 А",(495)333-25-16, dou689@ou.mosuzedu.ru,POINT(37.54481699999999 55.64253)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1352, ГБОУ ЦРР - детский сад № 1352,1 352, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Восточное окружное управление образования," 105568, г. Москва, ул. Челябинская, д. 26 А",(499) 308-00-08, detsad1352@mail.ru; detsad1352@rambler.ru,POINT(37.8356808 55.7780166)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2348, ГБОУ ЦРР - детский сад № 2348,2 348, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109469, г. Москва, ул. Марьинский бульвар, дом 9",(499) 784-88-79, centrRR-2348@rambler.ru,POINT(37.761503 55.65304399999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 281, ГБОУ детский сад № 281,281, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северное окружное управление образования," 125412, г. Москва, улица Клязьминская, дом 10Б",(499) 906-63-25, 281zdravstvyi@mail.ru,POINT(37.5244485 55.8843897)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2221, ГБОУ детский сад № 2221,2 221, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109145, г. Москва, Хвалынский бульвар, дом 4, корпус 3",(495) 705-62-00, det-2221@yandex.ru,POINT(37.8492066 55.6995517)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2530, ГБОУ ЦРР - детский сад № 2530,2 530, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Северное окружное управление образования," 125130, г. Москва, Старопетровский проезд, дом 12а",(499) 747-43-19, gou2530@mail.ru,POINT(37.509659 55.82485939999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 635, ГБОУ детский сад № 635,635, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111555, г. Москва, Напольный проезд, дом 3",(495) 305-87-03, dscombvida635@mail.ru; zav635@mail.ru,POINT(37.823152 55.7585961)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 275, ГБОУ детский сад № 275,275, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Центральное окружное управление образования," 105062 г. Москва, ул. Машкова, д.3 а",(495) 624-95-44, basmanka1@mail.ru; mysykaeva827@mail.ru; detsad275@mail.ru,POINT(37.649559 55.7631003)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1422, ГБОУ детский сад № 1422,1 422, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105275, г.Москва,проспект Буденного, д. 47",(495) 366-78-55, det1422@rambler.ru,POINT(37.7362602 55.7620149)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1323, ГБОУ детский сад № 1323,1 323, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127591, г. Москва, Керамический проезд, дом 71, корпус 4",(495) 485-29-68, ds1323@mail.ru,POINT(37.561587 55.890257)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2532, ГБОУ детский сад № 2532,2 532, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северо-Восточное окружное управление образования," 127253, город Москва, улица Псковская, дом 7, корпус 2",(499) 501-13-03, ds2532@mail.ru,POINT(37.549883 55.90483099999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1949, ГБОУ детский сад № 1949,1 949, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 111020, г. Москва, ул. Авиамоторная, дом 13",(495) 362-11-44, sadik1949@mail.ru,POINT(37.714892 55.76101500000001)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида №1286, ГБОУ детский сад № 1286,1 286, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 111555, г. Москва, ул. Молостовых, дом 1, корпус 5",(495) 300-02-30, detсad1286@yandex.ru,POINT(37.83544699999999 55.765404)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1899, ГБОУ детский сад № 1899,1 899, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111396,г.Москва,Зеленый проспект,дом 64А",(495) 302-23-05, ds1899@mail.ru,POINT(37.8195754 55.7493187)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 784, ГБОУ детский сад № 784,784, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115404 г.Москва, ул.Ряжская, д.11",(495) 327-34-89, dou784@sinergi.ru,POINT(37.66792969999999 55.5911313)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1010, ГБОУ детский сад № 1010,1 010, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107589, г. Москва, ул. Красноярская, д.9A",(495) 467-49-00, DC-1010@yandex.ru,POINT(37.8327316 55.8226486)
" Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1086 ""Белоснежка""", ГБОУ детский сад № 1086 «Белоснежка»,1 086, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Троицкое и новомосковское окружное управление образования," 105318, Москва Город, Семеновская Площадь, 4",#Н/Д, plimplim@mail.ru,POINT(37.7210321 55.7813321)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 435, ГБОУ детский сад № 435,435, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127644, г. Москва, Карельский бульвар, дом 23 А",(495) 485-12-11, detsad435@yandex.ru,POINT(37.5327348 55.8958307)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1528, ГБОУ детский сад № 1528,1 528, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111539, г. Москва,ул.Реутовская ,12А",(495) 375-51-96, ds1528@rambler.ru; samoldinarosa@mail.ru; nsokolova1528@rambler.ru; nvivev@mail.ru,POINT(37.83440820000001 55.736391)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2664, ГБОУ детский сад № 2664,2 664, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северное окружное управление образования," 125412, г. Москва, улица Клязьминская, дом 10 В",(499) 905-39-42, galkina2664@yandex.ru,POINT(37.52372769999999 55.8848344)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1047, ГБОУ детский сад № 1047,1 047, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," 127224 г. Москва, Студеный проезд, д. 32а",(499) 479-21-09, detsad1047@mail.ru,POINT(37.669424 55.8913434)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 487, ГБОУ детский сад № 487,487, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129343, г.Москва, ул. Амундсена, д. 13, корп.3",(499) 180-11-43, dou487@yandex.ru,POINT(37.65348760000001 55.8527372)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 802, ГБОУ детский сад № 802,802, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Центральное окружное управление образования," 109004, г. Москва, Николоямской пер., д.3 А, кор. 2",(495) 912-08-34, detsad802@yandex.ru,POINT(37.6598167 55.7482604)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2426, ГБОУ ЦРР - детский сад № 2426,2 426, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109451, г. Москва, ул. Братиславская, д. 9",(495) 658-52-59, 2426@inbox.ru,POINT(37.7558938 55.6647155)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1905, ГБОУ детский сад № 1905,1 905, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 105118, г.Москва,пр-т Буденного, д.30/8",(495) 672-38-70, vao1905@yandex.ru,POINT(37.7346729 55.762169)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 354, ГБОУ детский сад № 354,354, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111123, г. Москва, ул.1-я Владимирская, д. 14А",306-40-25, douds354@yandex.ru,POINT(37.7739212 55.7565032)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 116, ГБОУ детский сад № 116,116, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 127238, г. Москва, 3-й Нижнелихоборский проезд, дом 5А",(499) 790-47-22, gbou116@yandex.ru,POINT(37.5658603 55.8468615)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2583, ГБОУ детский сад № 2583,2 583, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Восточное окружное управление образования," 115193, г. Москва, ул. 5 Кожуховская, дом 27, к.2",(495) 671-94-69, sad2583@mail.ru,POINT(37.677955 55.706146)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2499, ГБОУ детский сад № 2499,2 499, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109559, г. Москва, ул. Белореченская, д. 10, корп. 2",(495) 359-25-29, detskiysad_2499@mail.ru; ds2499@mail.ru,POINT(37.763089 55.671819)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 632, ГБОУ детский сад № 632,632, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127247, г. Москва, Дмитровское шоссе, дом 88",(499) 488-20-95, detsad632@yandex.ru,POINT(37.5496117 55.8710579)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 790, ГБОУ детский сад № 790,790, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Западное окружное управление образования," 117321, г.Москва, ул.Профсоюзная, д.130Б",(495)338-48-00, dou790@mosuzedu.ru,POINT(37.5115392 55.63171510000001)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1407, ГБОУ ЦРР - детский сад № 1407,1 407, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115446 г. Москва, Миллионщикова Академика ул. д.31, к.3",(499) 612-32-78, dou1407@sinergi.ru,POINT(37.5301582 55.8294661)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1363, ГБОУ детский сад № 1363,1 363, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Южное окружное управление образования," 117648, г. Москва, Северное Чертаново, корп. 812",(495) 319-69-27, dou1363@sinergi.ru,POINT(37.5961887 55.6383327)
" Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1139 ""Боровичок""", ГБОУ детский сад № 1139 «Боровичок»,1 139, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Троицкое и новомосковское окружное управление образования," 142762, Москва Город, Марьино Деревня",#Н/Д, borovichok38@bk.ru,POINT(37.3341022 55.5552157)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1417, ГБОУ ЦРР - детский сад № 1417,1 417, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Восточное окружное управление образования," 107065, г. Москва, ул. Уссурийская, д. 1",(495) 469-45-38, ds1417@mail.ru,POINT(37.8105113 55.825455)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 616, ГБОУ детский сад № 616,616, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109386, г. Москва, Таганрогская улица, дом22",(495) 359-12-42, ds616@yandex.ru,POINT(37.7549937 55.6758239)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 978, ГБОУ детский сад № 978,978, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127566, город Москва, улица Бестужевых, д. 8в",(499) 204-39-00, detsad978@mail.ru,POINT(37.60326 55.868629)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 36, ГБОУ детский сад № 36, 36, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Восточное окружное управление образования," 105118, г.Москва, 9-я ул. Соколиной горы, д.5 А",(495) 365-31-07, gou36@rambler.ru,POINT(37.73066439999999 55.7718788)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 65, ГБОУ детский сад № 65, 65, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109280, г. Москва, улица 1-ая Машиностроения, дом 2/7, корпус 2",(495) 675-86-48, gouds65@mail.ru,POINT(37.6659459 55.71345119999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 989, ГБОУ детский сад № 989,989, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107143,г. Москва, Открытое шоссе, дом 23",(499) 167-40-78, detsad989@mail.ru,POINT(37.7542084 55.8263456)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 765, ГБОУ детский сад № 765,765, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Южное окружное управление образования," 115304 г. Москва,ул. Ереванская,18, к.1",(495) 321-27-47, dou765@sinergi.ru,POINT(37.6718908 55.6269812)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 134, ГБОУ детский сад № 134,134, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109202, Москва, Перовское шоссе, дом 8-а",(499) 170-24-47, vashh-lyudmila@yandex.ru; gou.ds134@ya.ru,POINT(37.7454638 55.73513819999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2126, ГБОУ детский сад № 2126,2 126, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109388, Москва, Шоссейная ул., д.39, стр.1",(495) 354-35-44, ds2126@uvuo.ru; anna.kaw@yandex.ru,POINT(37.7256443 55.6788159)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 944, ГБОУ детский сад № 944,944, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121596, г.Москва, ул. Барвихинская, д. 12",(495) 448-92-35, sad944@mail.ru,POINT(37.3889326 55.7173894)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 45, ГБОУ детский сад № 45, 45, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Центральное окружное управление образования," 123104 г.Москва, ул. Малая Бронная, дом 15, корпус 1.",(495) 691-44-96, dou45@rambler.ru; gbou45@yandex.ru,POINT(37.5962167 55.7609285)
